year,fips,democrat,green,nonaffiliated,republican,votetotal,percent
2000,12115,72853,4069,920,83100,160942,6.366889936
2000,12117,59174,1946,837,75677,137634,11.99049653
2000,12119,9637,306,191,12127,22261,11.18548134
2000,12121,4075,180,212,8006,12473,31.51607472
2000,12123,2649,59,44,4056,6808,20.66686251
2000,12125,1407,33,54,2332,3826,24.17668583
2000,12127,97304,2910,1083,82357,183654,8.138673811
2000,12129,3838,149,88,4512,8587,7.849074182
2000,12131,5642,265,229,12182,18318,35.70258762
2000,12133,2798,93,144,4994,8029,27.35085316
2000,13001,2093,2,64,3940,6099,30.28365306
2000,13003,821,1,21,1228,2071,19.65234186
2000,13005,956,2,27,2010,2995,35.19198664
2000,13007,893,0,11,615,1519,18.30151415
2000,13009,5893,22,170,6041,12126,1.220517895
2000,13011,1220,14,97,3202,4533,43.72380322
2000,13013,3657,61,459,7925,12102,35.26689803
2000,13015,7508,55,498,14720,22781,31.65796058
2000,13017,2234,0,46,2381,4661,3.15382965
2000,13019,1640,0,52,2718,4410,24.44444444
2000,13021,24996,248,461,24071,49776,1.858325297
2000,13023,1273,1,39,2436,3749,31.02160576
2000,13025,1372,5,71,3118,4566,38.239159
2000,13027,2096,12,37,2406,4551,6.811689739
2000,13029,2172,0,52,4835,7059,37.72489021
2000,13031,5561,137,94,8990,14782,23.19713165
2000,13033,3720,7,27,3381,7135,4.751226349
2000,13035,2281,8,148,3198,5635,16.27329193
2000,13037,1107,0,12,768,1887,17.96502385
2000,13039,3636,10,102,6371,10119,27.02836249
2000,13043,1053,0,26,1643,2722,21.6752388
2000,13045,8752,157,506,16326,25741,29.42387631
2000,13047,5470,66,152,12033,17721,37.03515603
2000,13049,1015,5,26,1770,2816,26.81107955
2000,13051,37590,596,442,37847,76475,0.336057535
2000,13053,600,4,13,590,1207,0.828500414
2000,13055,2729,5,103,3640,6477,14.06515362
2000,13057,12295,306,1714,38033,52348,49.1671124
2000,13059,15167,1247,640,11850,28904,11.47592029
2000,13061,821,0,8,448,1277,29.20908379
2000,13063,40042,176,1218,19966,61402,32.69600339
2000,13065,816,0,22,1091,1929,14.25609124
2000,13067,86676,2134,5723,140494,235027,22.89864569
2000,13069,3593,8,73,5756,9430,22.93743372
2000,13071,3297,5,81,6589,9972,33.01243482
2000,13073,8969,122,257,26660,36008,49.13074872
2000,13075,1639,3,23,2279,3944,16.22718053
2000,13077,9056,133,710,21327,31226,39.29738039
2000,13079,1513,5,62,1987,3567,13.28847771
2000,13081,2268,1,55,3285,5609,18.13157426
2000,13083,1628,13,75,3333,5049,33.76906318
2000,13085,1458,28,202,4210,5898,46.65988471
2000,13087,3398,13,50,4187,7648,10.31642259
2000,13089,154509,1930,4734,58807,219980,43.50486408
2000,13091,2326,1,78,3472,5877,19.49974477
2000,13093,1901,0,31,1588,3520,8.892045455
2000,13095,16650,68,98,12248,29064,15.14588494
2000,13097,11162,162,747,18893,30964,24.96770443
